loss/dynamics_holdout_loss,loss/dynamics_train_loss,timestep
0.009123081,-37.19239911476771,1
0.006492781,-48.97665717491737,2
0.0052516637,-52.44885354751196,3
0.004444382,-54.50658061003074,4
0.0039671147,-55.91609217130221,5
0.0035264515,-56.97619632720947,6
0.003208293,-57.864288505162946,7
0.003002458,-58.57902751140105,8
0.0028240879,-59.205726416172126,9
0.002606772,-59.73935909760304,10
0.0025199202,-60.256944662240834,11
0.0023478405,-60.68074868520101,12
0.0022477151,-61.083696946364185,13
0.0021152266,-61.41675786336263,14
0.0020619251,-61.776655197143555,15
0.0019386861,-62.07980936686198,16
0.0018955205,-62.35421418410081,17
0.0018359929,-62.635607711596364,18
0.0017637471,-62.89693423637977,19
0.0017110009,-63.10695862109844,20
0.0017198008,-63.346192520337226,21
0.0016408155,-63.52179472116324,22
0.0016424656,-63.74185435955341,23
0.0015594474,-63.8910771384606,24
0.0015530282,-64.00723524827224,25
0.0015166092,-64.24557372264373,26
0.0014840493,-64.35969220674954,27
0.001447446,-64.53049232287285,28
0.0014466504,-64.6647557067871,29
0.0014168823,-64.84214908893291,30
0.0014563716,-64.97517391009208,31
0.0013782872,-65.03860804924598,32
0.0013816984,-65.16040116138947,33
0.0013488794,-65.29083030798496,34
0.0013487898,-65.42274707794189,35
0.0013357585,-65.46871440691825,36
0.0013242001,-65.61418957147843,37
0.0013134169,-65.64447054251646,38
0.0012962755,-65.81249684847319,39
0.0012809808,-65.88470642970158,40
0.0012361833,-65.98422459626809,41
0.0012644258,-66.05363301790678,42
0.0012186732,-66.16666399148794,43
0.0011973095,-66.25533363733535,44
0.0011986479,-66.295049902109,45
0.0011657566,-66.39482034536509,46
0.0011846841,-66.44687584999281,47
0.001175155,-66.52647730020377,48
0.0011720683,-66.6339148986034,49
0.0011425184,-66.67061502603384,50
0.0011456402,-66.75179340655987,51
0.0011387825,-66.82660672896948,52
0.0011313965,-66.87280057662572,53
0.001123145,-66.93327312665107,54
0.0011131377,-67.0080700977032,55
0.0010922719,-67.08307021116599,56
0.0010875497,-67.12720732077574,57
0.001073303,-67.15951206794152,58
0.0010882237,-67.24896042946058,59
0.0010718249,-67.29923111059726,60
0.0010361733,-67.35097573011349,61
0.0010243673,-67.40285460838905,62
0.001030344,-67.42740006569105,63
0.0010284025,-67.49511977758164,64
0.0010125551,-67.53064054244604,65
0.0010115358,-67.59511559902093,66
0.0010194881,-67.59879775511912,67
0.0009971967,-67.64500694861779,68
0.0009934052,-67.65527056278327,69
0.0009829816,-67.75443768525734,70
0.0009837842,-67.78055574955084,71
0.0009840459,-67.87797197488638,72
0.0009551702,-67.88035746452135,73
0.00095699885,-67.77804764576447,74
0.00094149524,-67.92862320728791,75
0.0009302919,-67.99472365159255,76
0.0009574204,-68.08241790380234,77
0.0009439763,-68.11081534948104,78
0.0009222558,-68.14335948063777,79
0.0009240472,-68.15437055343237,80
0.00092003343,-68.18326711214506,81
0.0009226046,-68.24561637878418,82
0.0009238923,-68.27847338945438,83
0.0009008761,-68.34325560154059,84
0.00088439666,-68.33554773379595,85
0.00090510736,-68.33225536248622,86
0.00089468004,-68.39238665458484,87
0.0008771907,-68.38107115329841,88
0.0008859012,-68.51711307427821,89
0.0008703962,-68.51863003461789,90
0.0008739315,-68.43842448796981,91
0.0008765991,-68.5766656044202,92
0.00086389703,-68.62353877140926,93
0.0008550938,-68.63705150897687,94
0.0008574136,-68.70653039785532,95
0.00085527607,-68.70584829477164,96
0.0008407241,-68.66464571439303,97
0.00085025,-68.77183903229542,98
0.00085669395,-68.79862859090169,99
0.0008430995,-68.76861377520439,100
