loss/dynamics_holdout_loss,loss/dynamics_train_loss,timestep
0.01059154,-37.067320304253165,1
0.007609698,-48.87668512491079,2
0.005996239,-52.41696421207526,3
0.0051248246,-54.464762589870354,4
0.0044784388,-55.88368860489283,5
0.0040614316,-56.96670864105224,6
0.0037283008,-57.822763167161206,7
0.003509285,-58.501652355683156,8
0.0033129726,-59.19294280027732,9
0.003095864,-59.670510496481874,10
0.002987434,-60.213377178876826,11
0.0029009094,-60.63919562902206,12
0.0027255632,-61.008839653210764,13
0.0026171238,-61.416181034185946,14
0.002537707,-61.725704906170186,15
0.0025568493,-62.005417924538634,16
0.002399473,-62.30715614123222,17
0.0023278897,-62.55285285949707,18
0.0022723959,-62.81823517041329,19
0.0022252623,-63.060079295818625,20
0.0022041425,-63.245038434542145,21
0.0021345692,-63.47174513107691,22
0.0021193312,-63.66257623330141,23
