loss/dynamics_holdout_loss,loss/dynamics_train_loss,timestep
0.009934032,-37.29422572490496,1
0.006931952,-49.04512307289319,2
0.005510102,-52.51471286969307,3
0.004648236,-54.45047120705629,4
0.004059061,-55.87784751794277,5
0.003638377,-56.92880867297833,6
0.00331404,-57.80850277044834,7
0.003115052,-58.52579614883814,8
0.002914754,-59.208766703483384,9
0.0027814563,-59.73150158221905,10
0.0026459158,-60.24631607838166,11
0.0025391616,-60.6505213693472,12
0.0024329121,-61.05467157021547,13
0.002396838,-61.39657284761086,14
0.0023153,-61.72578876397549,15
0.002252703,-62.043022111745984,16
0.002164343,-62.303760446401746,17
0.0020878534,-62.54910182952881,18
0.0020262024,-62.791392329289366,19
0.0019639034,-63.044833644964754,20
0.0019109041,-63.266527833205004,21
0.0018791674,-63.48951790051583,22
0.0018376999,-63.62198555383927,23
0.0017831798,-63.82335072444035,24
0.0017409505,-64.01586324349428,25
0.0017204343,-64.14423461620625,26
0.0016755073,-64.32769024286515,27
0.0016829085,-64.48838835985232,28
0.0016307695,-64.61036704234589,29
0.0016186306,-64.75638360634828,30
